id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"KTA-BP-TGSEB","Tellicherry Black Pepper Bold (TGSEB)","Bold export-grade Tellicherry whole black peppercorns. HSN: 09041140. Sourced & graded by KTA alone with intense penetrating aroma and clean heat.","in stock","new","720 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/BlackPepper.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-BP-POWDER","Single-Origin Black Pepper Powder","Coarse & fine chef-grade ground black pepper. HSN: 09041200. Sourced & graded by KTA alone. Zero pinhead waste or fillers.","in stock","new","750 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/pepperpowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-WP-WHOLE","Decorticated White Pepper Whole","Naturally water-retted decorticated white peppercorns. HSN: 09041190. Sourced & graded by KTA alone. Ideal for white sauces and continental cuisine.","in stock","new","1050 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/whitepepper.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-WP-POWDER","Fine Milled White Pepper Powder","Micro-milled creamy white pepper powder. HSN: 09041200. Sourced & graded by KTA alone for luxury cream soups and banquet seasoning.","in stock","new","1080 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/whitepepperpowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-TURMERIC-SALEM","Salem Golden Turmeric Powder","Vibrant golden cold-ground Salem turmeric. HSN: 09103030. Sourced & graded by KTA alone. Unadulterated colour and deep earthiness.","in stock","new","260 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/turmericpowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-KASHMIRI-CHILLI","Scarlet Kashmiri Chilly (Whole & Stemless)","Sun-dried wrinkled crimson Kashmiri chillies. HSN: 09042219. Sourced & graded by KTA alone. Preferred for vibrant tandoor and biryani preparations.","in stock","new","580 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/KashmiriChilly.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-KASHMIRI-POWDER","Pure Kashmiri Chilli Powder","Cold-pulverized bright scarlet chilli powder. HSN: 09042211. Sourced & graded by KTA alone. Intense natural color without artificial dyes.","in stock","new","620 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/kashmirichillipowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-GUNTUR-CHILLI","Guntur S17 Whole Stemless Red Chilli","High-pungency fiery Guntur S17 chillies. HSN: 09042110. Sourced & graded by KTA alone for bold South Indian curries and spice blends.","in stock","new","320 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/GunturChilly.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-GUNTUR-POWDER","Guntur Spicy Red Chilli Powder","Stone-milled fiery red chilli powder. HSN: 09042211. Sourced & graded by KTA alone for high-volume commercial catering and restaurants.","in stock","new","340 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/chillypowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-CARDAMOM-8MM","Alleppey Green Cardamom (8mm+ Extra Bold)","Hand-graded Alleppey Green Extra Bold cardamom pods (8mm+). HSN: 09083140. Sourced & graded by KTA alone. High camphor aroma and plump green husk.","in stock","new","2800 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/cardamom.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
